Summary,Issue Type,Priority,Description,Labels,Components
"Accessibility - JavaScript Links Without Proper Markup","Bug","High","This element uses JavaScript to behave like a link. Links like this cannot be tabbed to from the keyboard and are not read out when screen readers list the links on a page.

Technical Details:
- WCAG Reference: 1.3.1 (Info and Relationships), 2.1.1 (Keyboard), 2.1.3 (Keyboard, No Exception), 4.1.2 (Name, Role, Value)
- Section 508 Reference: A F42
- Pages Affected: 97 pages

Solution:
Use an a or area element with a fallback link target in the href attribute, to ensure it receive keyboard focus and behaves like a link.","accessibility,wcag,links,javascript","Frontend"
"Accessibility - Use Semantic Markup Instead of CSS","Bug","High","Use semantic markup like strong instead of using the CSS font-weight property. Use the strong element instead of the span element for bold text.

Technical Details:
- WCAG Reference: 1.3.1 (Info and Relationships)
- Section 508 Reference: A F2
- Pages Affected: 27 pages

Solution:
Replace span elements with font-weight CSS with proper semantic strong elements.","accessibility,wcag,semantic","Frontend"
"Accessibility - Missing Language Attribute","Bug","High","Use the lang attribute to identify the language of the page. This allows screen readers to pronounce words correctly.

Technical Details:
- WCAG Reference: 3.1.1 (Language of Page)
- Section 508 Reference: A 3.1.1
- Pages Affected: 3 pages (web-pixels pages)

Solution:
In HTML add a lang attribute containing a language code to the html tag.","accessibility,wcag,language","Frontend"
"Accessibility - Invalid ARIA Naming on Generic Elements","Bug","Medium","Cannot use aria-label or aria-labelledby on elements and roles that prohibit naming. The div and span elements have an implicit role of generic and cannot be named unless they have a role attribute.

Technical Details:
- WCAG Reference: 4.1.2 (Name, Role, Value)
- Section 508 Reference: AA 4.1.2
- Pages Affected: 28 pages

Solution:
Remove aria-label or aria-labelledby from generic elements, or add appropriate role attributes if naming is required.","accessibility,wcag,aria","Frontend"
"Accessibility - Insufficient Color Contrast","Bug","Medium","Ensure that text and background colors have enough contrast. Some users find it hard to read light gray text on a white background, dark gray text on a black background and white text on a red background.

Technical Details:
- WCAG Reference: 1.4.3 (Contrast, Minimum), 1.4.6 (Contrast, Enhanced)
- Section 508 Reference: AA 1.4.3
- Pages Affected: 34 pages
- Contrast Issues:
  - 1.52 ratio with color: rgb(45,45,45); background: rgb(0,0,0)
  - 1.84 ratio with color: rgb(191,191,191); background: rgb(255,255,255)
  - 3.20 ratio with color: rgb(0,146,255); background: rgb(255,255,255)

Solution:
The contrast ratio should be 3.0 or more for 18 point text, or larger; 3.0 or more for 14 point bold text, or larger; 4.5 or more for all other text.","accessibility,wcag,contrast","Frontend"
"Accessibility - Incomplete Color Definitions","Bug","Medium","If you set any of the colors on the body or a elements you must set all of them. Some users have browser defaults set to white text on a black background, so setting one color without setting the others can result in black text on a black background.

Technical Details:
- WCAG Reference: 1.4.3 (Contrast, Minimum), 1.4.6 (Contrast, Enhanced), 1.4.8 (Visual Presentation)
- Section 508 Reference: AA F24
- Pages Affected: 28 pages

Solution:
Set all color attributes (text, bgcolor, link, alink, vlink in HTML or color and background-color in CSS) to ensure consistent appearance across different user settings.","accessibility,wcag,colors","Frontend"
"Accessibility - Missing Site Navigation Options","Bug","Medium","Provide two or more ways to reach each page: via links, search, a site map or table of contents. You should provide a link labeled 'Site Map' or 'Sitemap' or the equivalent in your language, or a search option on every page, or links to all pages from the home page.

Technical Details:
- WCAG Reference: 2.4.5 (Multiple Ways)
- Section 508 Reference: AA 2.4.5
- Pages Affected: 1 page
  - https://tracking.superfeet.com/

Solution:
Add a site map, search functionality, or comprehensive navigation to provide multiple ways to access content.","accessibility,wcag,navigation","Frontend"
"Accessibility - Focus Outline Visibility Issues","Bug","Medium","The CSS outline or border style on this element makes it difficult or impossible to see the link focus outline. Do not remove the default outline style, and change any border styles to avoid obscuring the focus outline around focusable elements.

Technical Details:
- WCAG Reference: 2.4.7 (Focus Visible)
- Section 508 Reference: AA F78
- Pages Affected: 16 pages

Solution:
Do not remove the default outline style, and change any border styles to avoid obscuring the focus outline around focusable elements. See :focus-visible for more information.","accessibility,wcag,focus","Frontend"
"Accessibility - New Window Links Without Warning","Bug","Low","Avoid specifying a new window as the target of a link with target="_blank". Displaying new windows without warning can be very confusing to non-sighted and mobile users.

Technical Details:
- WCAG Reference: 3.2.5 (Change on Request)
- Section 508 Reference: AAA F22
- Pages Affected: 71 pages

Solution:
If you cannot avoid displaying a new window, insert an 'opens in a new window' warning into the link text or add the warning to the link using a title attribute or aria-describedby attribute.","accessibility,wcag,links","Frontend"
"Accessibility - CSS Animations Without User Control","Bug","Low","Don't use CSS animations or transitions in interactions without giving the user a way to turn them off. Use the @media (prefers-reduced-motion) media query to respect user preferences.

Technical Details:
- WCAG Reference: 2.3.3 (Animation from Interactions)
- Section 508 Reference: AAA 2.3.3
- Pages Affected: 1 page
  - https://www.superfeet.com/ (Lines 7204, 7205, 7206, 7207)

Solution:
Use the @media (prefers-reduced-motion) media query to respect user preferences for reduced motion.","accessibility,wcag,animations","Frontend"
"Accessibility - Enhanced Color Contrast Requirements","Bug","Low","Ensure that text and background colors have a 7:1 contrast ratio. The text color to background color contrast ratio after composition is: 3.20 with color: rgb(0,146,255); background: rgb(255,255,255); font-size: 14.40pt; font-weight: 700.

Technical Details:
- WCAG Reference: 1.4.6 (Contrast, Enhanced)
- Section 508 Reference: AAA 1.4.6
- Pages Affected: 1 page
  - https://www.superfeet.com/pages/ccpa-privacy-policy (Line 2752)

Solution:
The contrast ratio should be 7.0 or more for all text to meet AAA standards.","accessibility,wcag,contrast","Frontend"
"Accessibility - Generic Link Text Without Context","Bug","Low","Link uses general text like 'Click Here' which doesn't explain link purpose. Screen reader users often tab from one link to the next, or use the 'Next Link' command.

Technical Details:
- WCAG Reference: 2.4.9 (Link Purpose, Link Only)
- Section 508 Reference: AAA F84
- Pages Affected: 26 pages

Solution:
Change the link text, or add an aria-label, so the link makes sense when read without the surrounding text.","accessibility,wcag,links","Frontend"
"Accessibility - Duplicate Link Text with Different Destinations (AAA)","Bug","Low","Several links on a page share the same link text, but go to different destinations. Make the link text unique for each target, or add additional text using aria-label.

Technical Details:
- WCAG Reference: 2.4.9 (Link Purpose, Link Only)
- Section 508 Reference: AAA 2.4.9
- Pages Affected: 94 pages

Solution:
Make the link text unique for each target, or add additional text using aria-label.","accessibility,wcag,links","Frontend"
"Accessibility - Reading Level Too High","Bug","Low","This page is hard to read for users with learning disabilities or reading disorders like dyslexia. For improved readability use simpler words and shorter sentences.

Technical Details:
- WCAG Reference: 3.1.5 (Reading Level)
- Section 508 Reference: AAA 3.1.5
- Pages Affected: 83 pages
- Reading Age: 4-7 years (Flesch Reading Ease Score: 53-62)

Solution:
Use simpler words and shorter sentences. The reading age should be appropriate for the target audience.","accessibility,wcag,readability","Content"
